Date,Close,Volume,Open,High,Low
03/01/2012,0.105,,0.105,0.105,0.105
03/02/2012,0.105,,0.105,0.105,0.105
03/05/2012,0.105,20.0,0.105,0.105,0.105
03/06/2012,0.105,,0.105,0.105,0.105
03/07/2012,0.105,40.0,0.105,0.105,0.105
03/08/2012,0.105,90.0,0.105,0.125,0.105
03/09/2012,0.105,530.0,0.125,0.15,0.105
03/12/2012,0.15,1600.0,0.15,0.15,0.15
03/13/2012,0.125,560.0,0.125,0.13,0.125
03/14/2012,0.125,8.0,0.125,0.125,0.125
03/15/2012,0.125,630.0,0.125,0.15,0.125
03/16/2012,0.125,,0.125,0.125,0.125
03/19/2012,0.125,202.0,0.125,0.125,0.125
03/20/2012,0.125,40.0,0.125,0.125,0.125
03/21/2012,0.125,9.0,0.125,0.125,0.125
03/22/2012,0.125,,0.125,0.125,0.125
03/23/2012,0.125,,0.125,0.125,0.125
03/26/2012,0.15,50.0,0.125,0.15,0.125
03/27/2012,0.15,,0.15,0.15,0.15
03/28/2012,0.15,,0.15,0.15,0.15
03/29/2012,0.15,,0.15,0.15,0.15
03/30/2012,0.15,42.0,0.125,0.15,0.125
04/02/2012,0.15,275.0,0.1,0.15,0.1
04/03/2012,0.15,,0.15,0.15,0.15
04/04/2012,0.105,3.0,0.105,0.105,0.105
04/05/2012,0.105,10.0,0.105,0.105,0.105
04/09/2012,0.105,,0.105,0.105,0.105
04/10/2012,0.105,10.0,0.105,0.105,0.105
04/11/2012,0.105,,0.105,0.105,0.105
04/12/2012,0.105,30.0,0.105,0.105,0.105
04/13/2012,0.105,578.0,0.105,0.105,0.105
04/16/2012,0.105,6.0,0.105,0.105,0.105
04/17/2012,0.105,1080.0,0.105,0.105,0.105
04/18/2012,0.105,103.0,0.105,0.105,0.105
04/19/2012,0.105,30.0,0.105,0.105,0.105
04/20/2012,0.15,20.0,0.15,0.15,0.15
04/23/2012,0.25,12734.0,0.15,0.3,0.15
04/24/2012,0.15,700.0,0.25,0.25,0.15
04/25/2012,0.3,2440.0,0.125,0.3,0.1
04/26/2012,0.3,,0.3,0.3,0.3
04/27/2012,0.3,908.0,0.1,0.3,0.1
04/30/2012,0.15,20.0,0.15,0.15,0.15
05/01/2012,0.25,28.0,0.15,0.25,0.15
05/02/2012,0.15,700.0,0.15,0.25,0.15
05/03/2012,0.15,,0.15,0.15,0.15
05/04/2012,0.225,1496.0,0.155,0.25,0.155
05/07/2012,0.24,113.0,0.185,0.24,0.185
05/08/2012,0.24,,0.24,0.24,0.24
05/09/2012,0.15,726.0,0.185,0.185,0.15
05/10/2012,0.23,2927.0,0.15,0.23,0.15
05/11/2012,0.175,3700.0,0.23,0.23,0.175
05/14/2012,0.15,624.0,0.15,0.175,0.15
05/15/2012,0.125,2308.0,0.11,0.15,0.09
05/16/2012,0.125,1120.0,0.125,0.125,0.125
05/17/2012,0.125,2000.0,0.125,0.125,0.125
05/18/2012,0.125,23.0,0.125,0.125,0.125
05/21/2012,0.125,,0.125,0.125,0.125
05/22/2012,0.09,4432.0,0.14,0.175,0.09
05/23/2012,0.15,20.0,0.15,0.15,0.15
05/24/2012,0.15,48.0,0.09,0.15,0.09
05/25/2012,0.09,44.0,0.09,0.09,0.09
05/29/2012,0.14,3060.0,0.09,0.14,0.08
05/30/2012,0.075,12.0,0.075,0.075,0.075
05/31/2012,0.06,10.0,0.06,0.06,0.06
06/01/2012,0.06,70.0,0.06,0.06,0.06
06/04/2012,0.06,70.0,0.06,0.06,0.06
06/05/2012,0.08,400.0,0.08,0.08,0.08
06/06/2012,0.14,350.0,0.06,0.14,0.06
06/07/2012,0.15,200.0,0.15,0.15,0.15
06/08/2012,0.175,22.0,0.06,0.175,0.06
06/11/2012,0.175,57.0,0.06,0.175,0.06
06/12/2012,0.175,,0.175,0.175,0.175
06/13/2012,0.175,,0.175,0.175,0.175
06/14/2012,0.175,450.0,0.06,0.175,0.06
06/15/2012,0.175,,0.175,0.175,0.175
06/18/2012,0.06,26.0,0.06,0.06,0.06
06/19/2012,0.06,,0.06,0.06,0.06
06/20/2012,0.06,1006.0,0.06,0.175,0.06
06/21/2012,0.06,3332.0,0.05,0.085,0.05
06/22/2012,0.075,20.0,0.075,0.075,0.075
06/25/2012,0.075,,0.075,0.075,0.075
06/26/2012,0.075,22.0,0.06,0.075,0.06
06/27/2012,0.075,30.0,0.075,0.075,0.075
06/28/2012,0.075,34.0,0.075,0.075,0.075
06/29/2012,0.075,,0.075,0.075,0.075
07/02/2012,0.075,,0.075,0.075,0.075
07/03/2012,0.075,,0.075,0.075,0.075
07/05/2012,0.075,40.0,0.075,0.075,0.075
07/06/2012,0.075,,0.075,0.075,0.075
07/09/2012,0.075,13.0,0.075,0.075,0.075
07/10/2012,0.075,,0.075,0.075,0.075
07/11/2012,0.075,,0.075,0.075,0.075
07/12/2012,0.075,22.0,0.075,0.075,0.075
07/13/2012,0.165,32.0,0.165,0.165,0.165
07/16/2012,0.165,,0.165,0.165,0.165
07/17/2012,0.165,,0.165,0.165,0.165
07/18/2012,0.155,14.0,0.075,0.155,0.075
07/19/2012,0.155,,0.155,0.155,0.155
07/20/2012,0.155,,0.155,0.155,0.155
07/23/2012,0.155,,0.155,0.155,0.155
07/24/2012,0.155,,0.155,0.155,0.155
07/25/2012,0.155,,0.155,0.155,0.155
07/26/2012,0.075,22.0,0.075,0.075,0.075
07/27/2012,0.155,150.0,0.155,0.155,0.075
07/30/2012,0.075,107.0,0.075,0.075,0.075
07/31/2012,0.155,10.0,0.075,0.155,0.075
08/01/2012,0.155,,0.155,0.155,0.155
08/02/2012,0.15,80.0,0.075,0.15,0.075
08/03/2012,0.075,140.0,0.075,0.075,0.075
08/06/2012,0.075,2120.0,0.075,0.075,0.075
08/07/2012,0.075,,0.075,0.075,0.075
08/08/2012,0.125,1200.0,0.1,0.125,0.075
08/09/2012,0.075,20.0,0.075,0.075,0.075
08/10/2012,0.075,20.0,0.075,0.075,0.075
08/13/2012,0.075,,0.075,0.075,0.075
08/14/2012,0.075,,0.075,0.075,0.075
08/15/2012,0.075,4.0,0.075,0.075,0.075
08/16/2012,0.075,,0.075,0.075,0.075
08/17/2012,0.075,,0.075,0.075,0.075
08/20/2012,0.075,1110.0,0.075,0.075,0.075
08/21/2012,0.075,,0.075,0.075,0.075
08/22/2012,0.065,20.0,0.065,0.065,0.065
08/23/2012,0.12,300.0,0.12,0.12,0.12
08/24/2012,0.12,,0.12,0.12,0.12
08/27/2012,0.065,38.0,0.065,0.065,0.065
08/28/2012,0.065,60.0,0.065,0.065,0.065
08/29/2012,0.065,,0.065,0.065,0.065
08/30/2012,0.12,1949.0,0.065,0.12,0.065
08/31/2012,0.12,,0.12,0.12,0.12
09/04/2012,0.12,,0.12,0.12,0.12
09/05/2012,0.065,80.0,0.065,0.065,0.065
09/06/2012,0.065,,0.065,0.065,0.065
09/07/2012,0.065,,0.065,0.065,0.065
09/10/2012,0.065,,0.065,0.065,0.065
09/11/2012,0.125,140.0,0.07,0.125,0.07
09/12/2012,0.07,2417.0,0.07,0.07,0.07
09/13/2012,0.07,170.0,0.07,0.07,0.07
09/14/2012,0.07,62.0,0.07,0.07,0.07
09/17/2012,0.07,20.0,0.07,0.07,0.07
09/18/2012,0.07,40.0,0.07,0.07,0.07
09/19/2012,0.07,,0.07,0.07,0.07
09/20/2012,0.07,,0.07,0.07,0.07
09/21/2012,0.07,,0.07,0.07,0.07
09/24/2012,0.07,25.0,0.07,0.07,0.07
09/25/2012,0.07,40.0,0.07,0.07,0.07
09/26/2012,0.07,48.0,0.07,0.07,0.07
09/27/2012,0.07,,0.07,0.07,0.07
09/28/2012,0.14,140.0,0.07,0.14,0.07
10/01/2012,0.14,162.0,0.07,0.14,0.07
10/02/2012,0.14,150.0,0.07,0.14,0.07
10/03/2012,0.13,22.0,0.07,0.13,0.07
10/04/2012,0.13,,0.13,0.13,0.13
10/05/2012,0.13,,0.13,0.13,0.13
10/08/2012,0.13,,0.13,0.13,0.13
10/09/2012,0.07,50.0,0.07,0.07,0.07
10/10/2012,0.07,100.0,0.07,0.07,0.07
10/11/2012,0.07,,0.07,0.07,0.07
10/12/2012,0.07,,0.07,0.07,0.07
10/15/2012,0.08,62.0,0.08,0.08,0.08
10/16/2012,0.08,2.0,0.08,0.08,0.08
10/17/2012,0.08,31.0,0.08,0.08,0.08
10/18/2012,0.08,,0.08,0.08,0.08
10/19/2012,0.085,40.0,0.085,0.085,0.085
10/22/2012,0.085,4.0,0.085,0.085,0.085
10/23/2012,0.085,632.0,0.085,0.085,0.085
10/24/2012,0.085,,0.085,0.085,0.085
10/25/2012,0.085,48.0,0.085,0.085,0.085
10/26/2012,0.085,,0.085,0.085,0.085
10/31/2012,0.085,,0.085,0.085,0.085
11/01/2012,0.085,,0.085,0.085,0.085
11/02/2012,0.09,8.0,0.09,0.09,0.09
11/05/2012,0.09,,0.09,0.09,0.09
11/06/2012,0.09,,0.09,0.09,0.09
11/07/2012,0.085,10.0,0.085,0.085,0.085
11/08/2012,0.085,20.0,0.085,0.085,0.085
11/09/2012,0.085,10.0,0.085,0.085,0.085
11/12/2012,0.075,50.0,0.075,0.075,0.075
11/13/2012,0.075,52.0,0.075,0.075,0.075
11/14/2012,0.075,6.0,0.075,0.075,0.075
11/15/2012,0.085,40.0,0.085,0.085,0.085
11/16/2012,0.085,90.0,0.085,0.085,0.085
11/19/2012,0.1,300.0,0.075,0.1,0.075
11/20/2012,0.1,,0.1,0.1,0.1
11/21/2012,0.1,,0.1,0.1,0.1
11/23/2012,0.075,30.0,0.075,0.075,0.075
11/26/2012,0.075,20.0,0.075,0.075,0.075
11/27/2012,0.095,94.0,0.075,0.11,0.075
11/28/2012,0.11,417.0,0.11,0.11,0.11
11/29/2012,0.1,40.0,0.1,0.1,0.1
11/30/2012,0.1,44.0,0.1,0.1,0.1
12/03/2012,0.1,,0.1,0.1,0.1
12/04/2012,0.1,,0.1,0.1,0.1
12/05/2012,0.1,,0.1,0.1,0.1
12/06/2012,0.1,40.0,0.1,0.1,0.1
12/07/2012,0.1,20.0,0.1,0.1,0.1
12/10/2012,0.07,3132.0,0.1,0.1,0.07
12/11/2012,0.075,100.0,0.075,0.075,0.075
12/12/2012,0.075,,0.075,0.075,0.075
12/13/2012,0.075,180.0,0.075,0.075,0.075
12/14/2012,0.075,4.0,0.075,0.075,0.075
12/17/2012,0.075,,0.075,0.075,0.075
12/18/2012,0.075,20.0,0.075,0.075,0.075
12/19/2012,0.075,141.0,0.075,0.075,0.075
12/20/2012,0.075,244.0,0.075,0.1,0.075
12/21/2012,0.075,10.0,0.075,0.075,0.075
12/24/2012,0.12,984.0,0.075,0.12,0.075
12/26/2012,0.075,504.0,0.075,0.075,0.075
12/27/2012,0.075,217.0,0.075,0.075,0.075
12/28/2012,0.075,297.0,0.075,0.075,0.075
12/31/2012,0.075,235.0,0.075,0.075,0.075
01/02/2013,0.075,20.0,0.075,0.075,0.075
01/03/2013,0.075,103.0,0.075,0.075,0.075
01/04/2013,0.075,26.0,0.075,0.075,0.075
01/07/2013,0.075,52.0,0.075,0.075,0.075
01/08/2013,0.075,,0.075,0.075,0.075
01/09/2013,0.075,,0.075,0.075,0.075
01/10/2013,0.075,62.0,0.075,0.075,0.075
01/11/2013,0.075,60.0,0.075,0.075,0.075
01/14/2013,0.075,4.0,0.075,0.075,0.075
01/15/2013,0.075,15.0,0.075,0.075,0.075
01/16/2013,0.075,,0.075,0.075,0.075
01/17/2013,0.075,,0.075,0.075,0.075
01/18/2013,0.13,766.0,0.13,0.13,0.13
01/22/2013,0.14,808.0,0.075,0.14,0.075
01/23/2013,0.075,60.0,0.075,0.075,0.075
01/24/2013,0.075,1252.0,0.125,0.125,0.075
01/25/2013,0.075,,0.075,0.075,0.075
01/28/2013,0.075,,0.075,0.075,0.075
01/29/2013,0.075,70.0,0.075,0.075,0.075
01/30/2013,0.075,4.0,0.075,0.075,0.075
01/31/2013,0.075,20.0,0.075,0.075,0.075
02/01/2013,0.075,,0.075,0.075,0.075
02/04/2013,0.075,46.0,0.075,0.075,0.075
02/05/2013,0.075,8.0,0.075,0.075,0.075
02/06/2013,0.075,,0.075,0.075,0.075
02/07/2013,0.075,2.0,0.075,0.075,0.075
02/08/2013,0.075,,0.075,0.075,0.075
02/11/2013,0.075,60.0,0.075,0.075,0.075
02/12/2013,0.075,,0.075,0.075,0.075
02/13/2013,0.075,,0.075,0.075,0.075
02/14/2013,0.175,107.0,0.175,0.175,0.175
02/15/2013,0.15,3408.0,0.075,0.15,0.075
02/19/2013,0.075,100.0,0.075,0.075,0.075
02/20/2013,0.15,1234.0,0.15,0.15,0.15
02/21/2013,0.075,2760.0,0.15,0.15,0.075
02/22/2013,0.075,7838.0,0.1,0.1,0.075
02/25/2013,0.125,1830.0,0.05,0.125,0.05
02/26/2013,0.075,60.0,0.075,0.075,0.075
02/27/2013,0.075,,0.075,0.075,0.075
02/28/2013,0.075,,0.075,0.075,0.075
03/01/2013,0.075,,0.075,0.075,0.075
03/04/2013,0.075,,0.075,0.075,0.075
03/05/2013,0.085,6.0,0.085,0.085,0.085
03/06/2013,0.085,,0.085,0.085,0.085
03/07/2013,0.085,20.0,0.085,0.085,0.085
03/08/2013,0.085,10.0,0.085,0.085,0.085
03/11/2013,0.085,12.0,0.085,0.085,0.085
03/12/2013,0.085,18.0,0.085,0.085,0.085
03/13/2013,0.085,,0.085,0.085,0.085
03/14/2013,0.085,40.0,0.085,0.085,0.085
03/15/2013,0.085,20.0,0.085,0.085,0.085
03/18/2013,0.085,2.0,0.085,0.085,0.085
03/19/2013,0.085,12.0,0.085,0.085,0.085
03/20/2013,0.085,,0.085,0.085,0.085
03/21/2013,0.085,50.0,0.085,0.085,0.085
03/22/2013,0.085,20.0,0.085,0.085,0.085
03/25/2013,0.085,,0.085,0.085,0.085
03/26/2013,0.085,,0.085,0.085,0.085
03/27/2013,0.085,20.0,0.085,0.085,0.085
03/28/2013,0.085,,0.085,0.085,0.085
04/01/2013,0.085,,0.085,0.085,0.085
04/02/2013,0.15,20.0,0.15,0.15,0.15
04/03/2013,0.085,2.0,0.085,0.085,0.085
04/04/2013,0.085,,0.085,0.085,0.085
04/05/2013,0.085,2.0,0.085,0.085,0.085
04/08/2013,0.085,,0.085,0.085,0.085
04/09/2013,0.085,2.0,0.085,0.085,0.085
04/10/2013,0.085,,0.085,0.085,0.085
04/11/2013,0.085,10.0,0.085,0.085,0.085
04/12/2013,0.085,,0.085,0.085,0.085
04/15/2013,0.085,16.0,0.085,0.085,0.085
04/16/2013,0.085,30.0,0.085,0.085,0.085
04/17/2013,0.085,138.0,0.085,0.085,0.085
04/18/2013,0.085,,0.085,0.085,0.085
04/19/2013,0.085,4.0,0.085,0.085,0.085
04/22/2013,0.085,,0.085,0.085,0.085
04/23/2013,0.08,820.0,0.085,0.085,0.08
04/24/2013,0.08,6.0,0.08,0.08,0.08
04/25/2013,0.08,,0.08,0.08,0.08
04/26/2013,0.08,30.0,0.08,0.08,0.08
04/29/2013,0.08,,0.08,0.08,0.08
